QueryKey;route;distance_text;distance_value;duration_text;duration_value;end_location_lat;end_location_lng;start_location_lat;start_location_lng;html_instructions;travel_mode;maneuver;polyline
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;1.0 km;985;3 mins;150;-23,4914789;-46,3870913;-23,485739;-46,3802006;Head <b>southwest</b> on <b>Avenida Marechal Tito</b> toward <b>R. Pedro Pereira</b>;DRIVING;;z`jnCfsazGh@tA`AvBBR\bA^|@Rb@r@fBLZ^~@\|@Vn@DHDH@B@@@@B@FDLPv@lANThAbBPVJNJLHHJJDDDDJHJFFBPJ^Nd@NjBj@ZJd@HTHVJz@d@BFBDFDLJVV\\V\Z\
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;0.5 km;454;2 mins;97;-23,4886879;-46,3903392;-23,4914789;-46,3870913;Turn <b>right</b> onto <b>R. João de Macedo Ribeiro</b>;DRIVING;turn-right;vdknCh~bzGqBdCm@t@cCtCaAlAaAnAa@d@a@d@aAlA
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;0.3 km;325;1 min;58;-23,4908446;-46,3924849;-23,4886879;-46,3903392;Turn <b>left</b> onto <b>R. Cachoeira Utupiru</b>;DRIVING;turn-left;hsjnCrrczGfAdAfAjArCjCXZXZtAtA
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;0.3 km;256;1 min;31;-23,489341;-46,39438;-23,4908446;-46,3924849;Turn <b>right</b> onto <b>Viaduto Carlito Maia</b>;DRIVING;turn-right;v`knC~_dzG}@pAEFW^IJi@t@}@lAu@dAGHMPCDEDGB
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;9 m;9;1 min;1;-23,4892812;-46,3943206;-23,489341;-46,39438;Turn <b>right</b> onto <b>R. Cachoeira Manganal</b>;DRIVING;turn-right;jwjnCzkdzGKK
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;0.1 km;109;1 min;21;-23,4899346;-46,3935279;-23,4892812;-46,3943206;Turn <b>right</b> onto <b>R. Ambua</b>;DRIVING;turn-right;~vjnCnkdzGb@k@v@cAd@m@
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;32 m;32;1 min;12;-23,4901507;-46,3937423;-23,4899346;-46,3935279;Turn <b>right</b> onto <b>R. Domingos Fernandes Nobre</b>;DRIVING;turn-right;`{jnCpfdzGj@h@
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;0.3 km;260;1 min;41;-23,4916108;-46,3956314;-23,4901507;-46,3937423;Continue straight to stay on <b>R. Domingos Fernandes Nobre</b>;DRIVING;straight;l|jnCzgdzGvAxA^^`@b@b@`@VVNL\\ANBF@B@DBH?@BHDN@H@DF\
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;0.7 km;655;2 mins;100;-23,4920366;-46,4020368;-23,4916108;-46,3956314;Merge onto <b>R. Bernardo de Chaves Cabral</b>;DRIVING;merge;peknCtsdzG@HDNH`CHhE@b@Bz@BlABp@@LFhBHbDNpE?t@@\@t@BbA
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;0.6 km;602;1 min;75;-23,4866945;-46,4011965;-23,4920366;-46,4020368;Turn <b>right</b> onto <b>Av. Brás da Rocha Cardoso</b>;DRIVING;turn-right;fhknCv{ezGcEi@c@GMA{AMeCYcD[]EaEe@mAMcCH
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;1.1 km;1103;2 mins;124;-23,4773209;-46,3989288;-23,4866945;-46,4011965;Continue onto <b>Av. da Estação</b>;DRIVING;;xfjnCnvezGS?C?C?C@E@WHYFkAVy@NG@K@K?MAMAOCKCOCKCICGEKEIEQMQKMKIIMMKKY]GGEEIGKGMIMGOGQGQGMEQISIWI]Km@S[G]GWEWE[Gq@Ie@IG?mASo@KWE[GUESEYGg@Ie@Kk@Mg@Mc@IYIOCSGQCIAGAGAE?A?K?MAK@I?K@M?]?]?c@?YAWAQ?OASAQCMCIAKC
3550308 SÃO PAULO 2020-06-09 12:00:04 EW;1;1.1 km;1123;2 mins;142;-23,4693109;-46,4032762;-23,4773209;-46,3989288;Continue onto <b>Estr. do Capão Bonito</b>;DRIVING;;flhnChhezGg@K[G_@IcAQOGIAMAQAOA[@_@B_@Bg@H]DYFk@NYFc@L[HYHSHWJWLMHIHOLKPGNINGPGPGRGPEJCFKPMVQXW^SXGFMTW\EDGFGDEBE@EBG@KDE@IBIBQBi@J{@Lc@HIBKBSHOFIDEBEDGD_BjASPGDGJGHELADADCLEPSpBERAD?@A@CDCBA?EAEAIAE?g@IA?_@GOCEAGAKAG?E@C?C@A@
