QueryKey;geocoder_status;place_id;types
3550308 SÃO PAULO 2020-06-12 12:00:04 EW;OK;ChIJaXfwWEJjzpQRdMsugxKABKE;street_address
3550308 SÃO PAULO 2020-06-12 12:00:04 EW;OK;ChIJVzi__KpZzpQRB7kBIhCtwQU;street_address
3550308 SÃO PAULO 2020-06-12 12:00:04 EW;OK;ChIJT3SeZz5VzpQRqMpX8tDodFg;street_address
3550308 SÃO PAULO 2020-06-12 12:00:06 NS;OK;ChIJzePEY_DzzpQRsFetfHX15Kw;premise
3550308 SÃO PAULO 2020-06-12 12:00:06 NS;OK;ChIJVzi__KpZzpQRB7kBIhCtwQU;street_address
3550308 SÃO PAULO 2020-06-12 12:00:06 NS;OK;ChIJNxIdsZJJzpQRqu4s2-Ty7bI;street_address
3304557 RIO DE JANEIRO 2020-06-12 12:00:10 EW;OK;ChIJZ5ikVtuBmQARY-Fzt6I4BRM;"c(""establishment"", ""finance"", ""point_of_interest"")"
3304557 RIO DE JANEIRO 2020-06-12 12:00:10 EW;OK;ChIJ6_IuhmB_mQARf_JisXsTROQ;street_address
3304557 RIO DE JANEIRO 2020-06-12 12:00:10 EW;OK;ChIJ1Z6AkSn6mwARHK_ohRqGOVs;street_address
3304557 RIO DE JANEIRO 2020-06-12 12:00:11 NS;OK;ChIJN3ib7IpkmQAR_XT5ed6Ozbc;street_address
3304557 RIO DE JANEIRO 2020-06-12 12:00:11 NS;OK;ChIJ6_IuhmB_mQARf_JisXsTROQ;street_address
3304557 RIO DE JANEIRO 2020-06-12 12:00:11 NS;OK;ChIJV7PjMQHVmwARNl4UfIBU8uM;street_address
5300108 BRASÍLIA 2020-06-12 12:00:13 EW;OK;ChIJ10RHSrw8WpMRKiMZRUIxpL4;route
5300108 BRASÍLIA 2020-06-12 12:00:13 EW;OK;ChIJDQ1_RCI7WpMRArYHLYBKAcg;street_address
5300108 BRASÍLIA 2020-06-12 12:00:13 EW;OK;ChIJC6hiPVnJW5MRXsID8Oa4vAE;route
5300108 BRASÍLIA 2020-06-12 12:00:14 NS;OK;ChIJmdJK7oVAWpMR3OKk3BV9YWo;street_address
5300108 BRASÍLIA 2020-06-12 12:00:14 NS;OK;ChIJDQ1_RCI7WpMRArYHLYBKAcg;street_address
5300108 BRASÍLIA 2020-06-12 12:00:14 NS;OK;ChIJ3ch2WwKBWZMRw-sL7EBXVdo;"c(""establishment"", ""food"", ""grocery_or_supermarket"", ""point_of_interest"", ""store"", ""supermarket"")"
2927408 SALVADOR 2020-06-12 12:00:16 EW;OK;ChIJs2n0Kl8WFgcRmoAzHj9Nom0;street_address
2927408 SALVADOR 2020-06-12 12:00:16 EW;OK;ChIJP_x1Be4EFgcRcrS9Ehu4YvQ;street_address
2927408 SALVADOR 2020-06-12 12:00:16 EW;OK;ElZSLiBEZXMuIENhc3RlbG8gQnJhbmNvIGRlIEJhaXhvLCAxMjkgLSBEb2lzIGRlIEp1bGhvLCBTYWx2YWRvciAtIEJBLCA0MDA2MC0wNzUsIEJyYXppbCIbEhkKFAoSCdsYNfOMBBYHEe85lEPhrxFhEIEB;street_address
2927408 SALVADOR 2020-06-12 12:00:18 NS;OK;ChIJPQRjJXgSFgcR3NKRqjKMpro;street_address
2927408 SALVADOR 2020-06-12 12:00:18 NS;OK;ChIJP_x1Be4EFgcRcrS9Ehu4YvQ;street_address
2927408 SALVADOR 2020-06-12 12:00:18 NS;OK;ChIJVXBkbHgDFgcRkR7qvO8t7b0;street_address
2304400 FORTALEZA 2020-06-12 12:00:21 EW;OK;ChIJhaRhAkhGxwcRF2uIDMwTD5s;street_address
2304400 FORTALEZA 2020-06-12 12:00:21 EW;OK;ChIJ87-VaklIxwcR3DEC0glpY-Y;premise
2304400 FORTALEZA 2020-06-12 12:00:21 EW;OK;ChIJPdfcUwpKxwcR1cPjSBFq0OU;street_address
2304400 FORTALEZA 2020-06-12 12:00:23 NS;OK;ChIJR47P5KxJxwcRu8_uQhWjJsI;"c(""clothing_store"", ""establishment"", ""point_of_interest"", ""store"")"
2304400 FORTALEZA 2020-06-12 12:00:23 NS;OK;ChIJ87-VaklIxwcR3DEC0glpY-Y;premise
2304400 FORTALEZA 2020-06-12 12:00:23 NS;OK;ChIJLy4E6BFSxwcR6H-rhoW0MWI;street_address
3106200 BELO HORIZONTE 2020-06-12 12:00:24 EW;OK;ChIJT3zLi8ebpgARvteKVL5OQe4;street_address
3106200 BELO HORIZONTE 2020-06-12 12:00:24 EW;OK;EklBdi4gQXVndXN0byBkZSBMaW1hLCA3NDQgLSBDZW50cm8sIEJlbG8gSG9yaXpvbnRlIC0gTUcsIDMwMTkwLTAwMSwgQnJhemlsIhsSGQoUChIJGQAaHeKZpgAR4ALaIXIU4h8Q6AU;street_address
3106200 BELO HORIZONTE 2020-06-12 12:00:24 EW;OK;ChIJUbpxRCuUpgARaLp1qBzYFUo;street_address
3106200 BELO HORIZONTE 2020-06-12 12:00:27 NS;OK;ChIJaWddxoSPpgAR3WkoGqfuSA4;"c(""establishment"", ""food"", ""grocery_or_supermarket"", ""point_of_interest"", ""store"", ""supermarket"")"
3106200 BELO HORIZONTE 2020-06-12 12:00:27 NS;OK;EklBdi4gQXVndXN0byBkZSBMaW1hLCA3NDQgLSBDZW50cm8sIEJlbG8gSG9yaXpvbnRlIC0gTUcsIDMwMTkwLTAwMSwgQnJhemlsIhsSGQoUChIJGQAaHeKZpgAR4ALaIXIU4h8Q6AU;street_address
3106200 BELO HORIZONTE 2020-06-12 12:00:27 NS;OK;ChIJ59Mf62m9pgARwRpeNR620Wc;street_address
1302603 MANAUS 2020-06-12 12:00:28 EW;OK;ChIJGcQqKpwEbJIR3MPBaTW8UzY;street_address
1302603 MANAUS 2020-06-12 12:00:28 EW;OK;ChIJXYqLOX0FbJIR66y0h3_P0KE;street_address
1302603 MANAUS 2020-06-12 12:00:28 EW;OK;ChIJ02ebiF4RbJIR3GHPFBUAgYI;street_address
1302603 MANAUS 2020-06-12 12:00:30 NS;OK;ChIJCXWSwv4XbJIRrGwYpRHOdpg;street_address
1302603 MANAUS 2020-06-12 12:00:30 NS;OK;ChIJXYqLOX0FbJIR66y0h3_P0KE;street_address
1302603 MANAUS 2020-06-12 12:00:30 NS;OK;ChIJd8EoZoEFbJIRMKlrbtV8FsM;"c(""establishment"", ""food"", ""point_of_interest"", ""restaurant"")"
4106902 CURITIBA 2020-06-12 12:00:34 EW;OK;ChIJNTI9r4Dv3JQRxHIJJpF22kc;"c(""establishment"", ""food"", ""point_of_interest"", ""store"")"
4106902 CURITIBA 2020-06-12 12:00:34 EW;OK;ChIJZW-DcG7k3JQR2Khek-TfpSg;street_address
4106902 CURITIBA 2020-06-12 12:00:34 EW;OK;ChIJU7IvPA_i3JQRkjvGFks83NU;premise
4106902 CURITIBA 2020-06-12 12:00:35 NS;OK;ChIJ9UH1JOvm3JQRP1fQ--ijHts;street_address
4106902 CURITIBA 2020-06-12 12:00:35 NS;OK;ChIJZW-DcG7k3JQR2Khek-TfpSg;street_address
4106902 CURITIBA 2020-06-12 12:00:35 NS;OK;ChIJ3y2aPZH83JQRNs_qwlrASnU;street_address
2611606 RECIFE 2020-06-12 12:00:36 EW;OK;ChIJeV4vQqIYqwcRBNxFbPwA1Gs;street_address
2611606 RECIFE 2020-06-12 12:00:36 EW;OK;ChIJlWiEfqMYqwcR03-Wkfxi2IQ;street_address
2611606 RECIFE 2020-06-12 12:00:36 EW;OK;ChIJ00x4JLEbqwcRBJaaExmu0N4;street_address
2611606 RECIFE 2020-06-12 12:00:38 NS;OK;ChIJTavvWGwYqwcRoACP01dOUu8;street_address
2611606 RECIFE 2020-06-12 12:00:38 NS;OK;ChIJlWiEfqMYqwcR03-Wkfxi2IQ;street_address
2611606 RECIFE 2020-06-12 12:00:38 NS;OK;ChIJmzHlYNPhqgcRYLVygLN0c0U;street_address
5208707 GOIÂNIA 2020-06-12 12:00:41 EW;OK;ChIJHSUuTq3xXpMReJueD8R4rlI;street_address
5208707 GOIÂNIA 2020-06-12 12:00:41 EW;OK;ChIJTTORPHvxXpMRqttfd7hzQ6g;street_address
5208707 GOIÂNIA 2020-06-12 12:00:41 EW;OK;EkRSLiBNYW5vZWwgU2lsdmEsIDE2NCAtIFZpbGEgUmVnaW5hLCBHb2nDom5pYSAtIEdPLCA3NDQ1My01NjAsIEJyYXppbCIbEhkKFAoSCSOp6Tap9V6TEfpRnA_fyGaDEKQB;street_address
5208707 GOIÂNIA 2020-06-12 12:00:42 NS;OK;ChIJGwjtpWOMXpMRpY4vVm-_FEQ;street_address
5208707 GOIÂNIA 2020-06-12 12:00:42 NS;OK;ChIJTTORPHvxXpMRqttfd7hzQ6g;street_address
5208707 GOIÂNIA 2020-06-12 12:00:42 NS;OK;ChIJI-yk07DwXpMRmDBVdL9VcC0;street_address
1501402 BELÉM 2020-06-12 12:00:45 EW;OK;ChIJex2YUBuLpJIRCfUHJDspB6Q;street_address
1501402 BELÉM 2020-06-12 12:00:45 EW;OK;ChIJ_bjk6e2OpJIRfnl5i_L_GNA;street_address
1501402 BELÉM 2020-06-12 12:00:45 EW;OK;ChIJj41h9fWOpJIRKa0WObwkM3A;premise
1501402 BELÉM 2020-06-12 12:00:48 NS;OK;ChIJt4j0KwNmpJIRWMMLC7C1QaQ;street_address
1501402 BELÉM 2020-06-12 12:00:48 NS;OK;ChIJ_bjk6e2OpJIRfnl5i_L_GNA;street_address
1501402 BELÉM 2020-06-12 12:00:48 NS;OK;ChIJp5hCoumNpJIRbj664B5zl8U;street_address
4314902 PORTO ALEGRE 2020-06-12 12:00:51 EW;OK;ChIJPVtyLPqdGZUR_afd_toKCZk;street_address
4314902 PORTO ALEGRE 2020-06-12 12:00:51 EW;OK;ChIJ4dpmhxd5GZURRxVmsQfNblI;street_address
4314902 PORTO ALEGRE 2020-06-12 12:00:51 EW;OK;ChIJdWJnaBF5GZURplXjfOOlZ9E;street_address
4314902 PORTO ALEGRE 2020-06-12 12:00:55 NS;OK;ChIJVwlE3D53GZURzeJ2-tTDK88;street_address
4314902 PORTO ALEGRE 2020-06-12 12:00:55 NS;OK;ChIJ4dpmhxd5GZURRxVmsQfNblI;street_address
4314902 PORTO ALEGRE 2020-06-12 12:00:55 NS;OK;EkhSLiBNYW5vZWwgTGXDo28sIDIgLSBQZWRyYSBSZWRvbmRhLCBQb3J0byBBbGVncmUgLSBSUywgOTE3NjAtNTYwLCBCcmF6aWwiGhIYChQKEglv_CgJt4MZlRGwfSgXf4SdTBAC;street_address
3518800 GUARULHOS 2020-06-12 12:00:56 EW;OK;ChIJo0LzUkeIzpQR0FmRbzqPPoY;street_address
3518800 GUARULHOS 2020-06-12 12:00:56 EW;OK;ChIJg1GAX1z1zpQR58omoLzOhRs;"c(""establishment"", ""point_of_interest"")"
3518800 GUARULHOS 2020-06-12 12:00:56 EW;OK;ChIJzcOQh4P1zpQRNVh8MaGja70;street_address
3518800 GUARULHOS 2020-06-12 12:00:58 NS;OK;ChIJxVMtJWDzzpQRY5jT5XNj7bw;street_address
3518800 GUARULHOS 2020-06-12 12:00:58 NS;OK;ChIJg1GAX1z1zpQR58omoLzOhRs;"c(""establishment"", ""point_of_interest"")"
3518800 GUARULHOS 2020-06-12 12:00:58 NS;OK;ChIJhzfLi-9fzpQR6KzEL-5mZuM;route
3509502 CAMPINAS 2020-06-12 12:00:59 EW;OK;ChIJ7W9StFrQyJQRfaxRp0LOaDs;street_address
3509502 CAMPINAS 2020-06-12 12:00:59 EW;OK;ChIJPVBqDbXIyJQRa7QvLxfABE4;street_address
3509502 CAMPINAS 2020-06-12 12:00:59 EW;OK;ChIJHTXjbTi3yJQRu9Vw2d_8Lds;street_address
3509502 CAMPINAS 2020-06-12 12:01:02 NS;OK;ChIJuQcPYnHEyJQRZNmbjC6R0Ag;street_address
3509502 CAMPINAS 2020-06-12 12:01:02 NS;OK;ChIJPVBqDbXIyJQRa7QvLxfABE4;street_address
