CityCode;Directions;CityRef
1100205;EW;1476,5
1100205;NS;1536
1302603;EW;2535,5
1302603;NS;1942
1500800;EW;837
1500800;NS;2096,5
1501402;EW;1397
1501402;NS;3847,5
1600303;EW;1174,5
1600303;NS;1790,5
2111300;EW;1494,5
2111300;NS;2744
2211001;EW;1909,5
2211001;NS;2978
2304400;EW;1927,5
2304400;NS;2128,5
2408102;EW;2625,5
2408102;NS;2368
2507507;EW;1221,5
2507507;NS;2317
2607901;EW;2062,5
2607901;NS;1273
2611606;EW;1993,5
2611606;NS;2124,5
2704302;EW;1678
2704302;NS;2272,5
2800308;EW;985,5
2800308;NS;2980,5
2910800;EW;1359,5
2910800;NS;1818
2927408;EW;2129,5
2927408;NS;2999
3106200;EW;1717,5
3106200;NS;2290,5
3118601;EW;1399
3118601;NS;2583
3136702;EW;2472,5
3136702;NS;1377
3170206;EW;1684
3170206;NS;1579
3205002;EW;2335,5
3205002;NS;1265
3205200;EW;1415,5
3205200;NS;2495
3300456;EW;1633
3300456;NS;1349
3301009;EW;987,5
3301009;NS;1654,5
3301702;EW;1456
3301702;NS;2099,5
3303302;EW;1549,5
3303302;NS;1317,5
3303500;EW;1869,5
3303500;NS;1597,5
3304557;EW;4283
3304557;NS;2990,5
3304904;EW;1657,5
3304904;NS;1521
3305109;EW;1425
3305109;NS;829,5
3509502;EW;2782
3509502;NS;1930
3518800;EW;1936,5
3518800;NS;1496
3534401;EW;1078
3534401;NS;1866,5
3543402;EW;1199
3543402;NS;1764
3547809;EW;1168,5
3547809;NS;2159
3548708;EW;1903,5
3548708;NS;1837
3549904;EW;2562,5
3549904;NS;1851,5
3550308;EW;4918,5
3550308;NS;5195
3552205;EW;1832
3552205;NS;1798
4106902;EW;1770,5
4106902;NS;1879
4113700;EW;1486
4113700;NS;1545
4205407;EW;2295,5
4205407;NS;4626,5
4209102;EW;1444
4209102;NS;1497
4305108;EW;1618
4305108;NS;1530,5
4314902;EW;1804,5
4314902;NS;2163
5002704;EW;1593,5
5002704;NS;1913
5103403;EW;2070,5
5103403;NS;2004,5
5201405;EW;1952,5
5201405;NS;1242
5208707;EW;1612
5208707;NS;2403,5
5300108;EW;2584
5300108;NS;4176,5
