UF_Id;Munic_Id;Munic_Id6;Munic_Nome;Pop2018;ExtremWest_Adress;ExtremWest_Lat;ExtremWest_Lon;ExtremEast_Adress;ExtremEast_Lat;ExtremEast_Lon;ExtremSouth_Adress;ExtremSouth_Lat;ExtremSouth_Lon;ExtremNorth_Adress;ExtremNorth_Lat;ExtremNorth_Lon;Center_Adress;Center_Lat;Center_Lon
35;3550308;355030;SÃO PAULO;12176866;Av. Guilherme Fongaro, 374 - Jardim Arpoador, São Paulo - SP, 05576-100;-23,5932963;-46,8079606;Avenida Marechal Tito, 7579 - Itaim Paulista, São Paulo - SP, 08115-100;-23,4859244;-46,3800909;Estr. da Col., 95 - Parelheiros, São Paulo - SP, 04892-000;-23,831669;-46,737041;Rod. Fernão Dias, 23200 - Tres Cruzes, São Paulo - SP, 02284-000;-23,4087326;-46,5825467;Praça da Sé, 108 - Sé, São Paulo - SP, 01001-001;-23,549941;-46,634255
33;3304557;330455;RIO DE JANEIRO;6688927;R. Alceu Ferreira Viveiros, 287-251 - Santa Cruz, Rio de Janeiro - RJ, 23560-360;-22,901562;-43,712495;Av. Alm. Silvio de Noronha, 365 - Centro, Rio de Janeiro - RJ, 20021-010;-22,91419;-43,16637;Av. Vieira Souto, 1770 - Ipanema, Rio de Janeiro - RJ, 22420-008;-22,98688;-43,210796;Largo da Pavuna, 97-1 - Pavuna, Rio de Janeiro - RJ, 21520-310;-22,805991;-43,366999;Av. Rio Branco, 156 - Centro, Rio de Janeiro - RJ, 20040-972;-22,907024;-43,177577
53;5300108;530010;BRASÍLIA;2974703;St. R Qnr 05 conjunto M casa 01, St. R - Ceilândia, Brasília - DF, 72275-676;-15,794744;-48,162792;SHTN Trecho 1 - Lago Paranoá, Brasília - DF, 70297-400;-15,788681;-47,829254;QR 201 CL 201 - Santa Maria, Brasília - DF;-16,042011;-48,033853;Q. 9 Conjunto F - Q 9 - Sobradinho, Brasília - DF;-15,641228;-47,808723;Esplanada dos Ministérios lote 12 - Brasília, DF, 70050-000;-15,798249;-47,875572
29;2927408;292740;SALVADOR;2857329;Av. Lafayete Coutinho, 1010 - 01 - Comercio, Salvador - BA, 40015-160;-12,980272;-38,5243962;R. Santa Cecília, 112 - Jardim das Margaridas, Salvador - BA, 41502-335;-12,9000111;-38,3561807;Av. Oceânica - Barra, Salvador - BA, 41140-130;-13,0073031;-38,5259344;R. Benjamin de Souza - São Tomé de Paripe, Salvador - BA, 40800-201;-12,8255539;-38,4830051;R. Manoel Vitórino, 46 - Comercio, Salvador - BA, 40020-015;-12,976763;-38,515892
23;2304400;230440;FORTALEZA;2643247;Av. Presidente Castelo Branco, 6417 - Barra do Ceará, Fortaleza - CE, 60170-002;-3,7004428;-38,5877086;Av. Clóvis Arrais Maia, 4987 - Antonio Diogo, Fortaleza - CE, 60183-692;-3,745297;-38,4638259;Av. Dr. Mendel Steinbruch, 6818 - Parangaba, Fortaleza - CE;-3,8376808;-38,583514;Rua dos Tabajaras, 340 - Praia de Iracema, Fortaleza - CE, 60060-510;-3,728443;-38,5292816;R. Dragão do Mar, 81 - Praia de Iracema, Fortaleza - CE, 60060-390;-3,721307;-38,520554
31;3106200;310620;BELO HORIZONTE;2501576;Rua Flor de Jambo, 62 - Jardim Filadelfia, Belo Horizonte - MG, 30865-290;-19,9210726;-44,0235285;R. Itaguá, 320 - Alto Vera Cruz, Belo Horizonte - MG, 30285-260;-19,9053542;-43,8946003;R. Sra. do Carmo, 161 - Olhos D'Água, Belo Horizonte - MG, 30390-170;-19,9903359;-43,9633528;Alameda Interligação, 410 - Serra Verde, Belo Horizonte - MG, 31630-120;-19,799798;-43,952399;Av. Augusto de Lima, 744 - Centro, Belo Horizonte - MG, 30190-922;-19,923122;-43,943185
13;1302603;130260;MANAUS;2145444;Av. Coronel Teixeira, 10507 - Ponta Negra, Manaus - AM, 69030-480;-3,050879;-60,113919;Av. Leste, 68 A - Mauazinho, Manaus - AM, 69075-330;-3,122588;-59,936715;R. Barão de São Domingos, 295 - Centro, Manaus - AM, 69005-010;-3,141387;-60,020941;Avenida Arquiteto José Henrique Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus - AM, 69093-149;-2,9654779;-60,0310879;Av. Eduardo Ribeiro, 901 - Centro, Manaus - AM, 69400-901;-3,130228;-60,024149
41;4106902;410690;CURITIBA;1917185;R. Eduardo Sprada, 5806-5850 - Cidade Industrial De Curitiba, Curitiba - PR, 81290-000;-25,451495;-49,359259;Av. Victor Ferreira do Amaral, 3800 - Tarumã, Curitiba - PR, 82810-350;-25,431356;-49,204908;R. Orestes Códega, 165 - Pinheirinho, Curitiba - PR, 81150-200;-25,523711;-49,29764;Av. Anita Garibaldi, 2884 - Boa Vista, Curitiba - PR, 82210-000;-25,387134;-49,26084;R. André de Barros, 48 - Centro, Curitiba - PR, 80010-090;-25,436201;-49,272133
26;2611606;261160;RECIFE;1637834;R. Inaldo Bartolomeu de Carvalho, 89-55 - Várzea, Recife - PE, 50970-360;-8,035368;-34,979259;Av. Alfredo Lisboa, 810 - Recife, PE, 50030-150;-8,059061;-34,869444;Av. Boa Viagem, 58 - Boa Viagem, Recife - PE, 51130-020;-8,151494;-34,908181;R. Farias Neves - Campo Grande, Recife - PE, 52040-320;-8,022428;-34,877378;Av. Alfredo Lisboa, 172 - Recife, PE, 50030-150;-8,062244;-34,870993
52;5208707;520870;GOIÂNIA;1495705;Av. Anhanguera, 14404 - Capuava, Goiânia - GO, 74450-010;-16,6575718;-49,3312871;Av. Dep. Jamel Cecílio, 3300 - Jardim Goiás, Goiânia - GO, 74810-907;-16,7066039;-49,2342219;Av. Rio Verde, 102/104 - Piso 1 - Vila Sao Tomaz, Aparecida de Goiânia - GO, 74915-515;-16,741135;-49,276299;R. OM Doze - Res. Orlando de Morais, Goiânia - GO;-16,559983;-49,2716;R. 10, Nº 180 - St. Sul, Goiânia - GO, 74080-420;-16,679713;-49,252817
