UF_Id;Munic_Id;Munic_Id6;Munic_Nome;Pop2018
35;3550308;355030;SÃO PAULO;12176866
33;3304557;330455;RIO DE JANEIRO;6688927
53;5300108;530010;BRASÍLIA;2974703
29;2927408;292740;SALVADOR;2857329
23;2304400;230440;FORTALEZA;2643247
31;3106200;310620;BELO HORIZONTE;2501576
13;1302603;130260;MANAUS;2145444
41;4106902;410690;CURITIBA;1917185
26;2611606;261160;RECIFE;1637834
52;5208707;520870;GOIÂNIA;1495705
15;1501402;150140;BELÉM;1485732
43;4314902;431490;PORTO ALEGRE;1479101
35;3518800;351880;GUARULHOS;1365899
35;3509502;350950;CAMPINAS;1194094
21;2111300;211130;SÃO LUÍS;1094667
33;3304904;330490;SÃO GONÇALO;1077687
27;2704302;270430;MACEIÓ;1012382
33;3301702;330170;DUQUE DE CAXIAS;914383
50;5002704;500270;CAMPO GRANDE;885711
24;2408102;240810;NATAL;877640
22;2211001;221100;TERESINA;861442
35;3548708;354870;SÃO BERNARDO DO CAMPO;833240
33;3303500;330350;NOVA IGUAÇU;818875
25;2507507;250750;JOÃO PESSOA;800323
35;3547809;354780;SANTO ANDRÉ;716109
35;3549904;354990;SÃO JOSÉ DOS CAMPOS;713943
26;2607901;260790;JABOATÃO DOS GUARARAPES;697636
35;3534401;353440;OSASCO;696850
35;3543402;354340;RIBEIRÃO PRETO;694534
31;3170206;317020;UBERLÂNDIA;683247
35;3552205;355220;SOROCABA;671186
31;3118601;311860;CONTAGEM;659070
28;2800308;280030;ARACAJU;648939
29;2910800;291080;FEIRA DE SANTANA;609913
51;5103403;510340;CUIABÁ;607153
42;4209102;420910;JOINVILLE;583144
52;5201405;520140;APARECIDA DE GOIÂNIA;565957
31;3136702;313670;JUIZ DE FORA;564310
41;4113700;411370;LONDRINA;563943
15;1500800;150080;ANANINDEUA;525566
11;1100205;110020;PORTO VELHO;519531
33;3303302;330330;NITERÓI;511786
33;3300456;330045;BELFORD ROXO;508614
32;3205002;320500;SERRA;507598
43;4305108;430510;CAXIAS DO SUL;504069
33;3301009;330100;CAMPOS DOS GOYTACAZES;503424
16;1600303;160030;MACAPÁ;493634
42;4205407;420540;FLORIANÓPOLIS;492977
32;3205200;320520;VILA VELHA;486208
33;3305109;330510;SÃO JOÃO DE MERITI;471888
35;3529401;352940;MAUÁ;468148
35;3549805;354980;SÃO JOSÉ DO RIO PRETO;456245
35;3530607;353060;MOGI DAS CRUZES;440769
35;3548500;354850;SANTOS;432957
31;3106705;310670;BETIM;432575
35;3513801;351380;DIADEMA;420934
41;4115200;411520;MARINGÁ;417010
35;3525904;352590;JUNDIAÍ;414810
25;2504009;250400;CAMPINA GRANDE;407472
31;3143302;314330;MONTES CLAROS;404804
12;1200401;120040;RIO BRANCO;401155
35;3538709;353870;PIRACICABA;400949
35;3510609;351060;CARAPICUÍBA;398611
26;2609600;260960;OLINDA;391835
52;5201108;520110;ANÁPOLIS;381970
32;3201308;320130;CARIACICA;378603
14;1400100;140010;BOA VISTA;375374
35;3506003;350600;BAURU;374272
35;3523107;352310;ITAQUAQUECETUBA;366519
23;2303709;230370;CAUCAIA;363982
35;3551009;355100;SÃO VICENTE;363173
32;3205309;320530;VITÓRIA;358267
26;2604106;260410;CARUARU;356872
42;4202404;420240;BLUMENAU;352460
35;3516200;351620;FRANCA;350400
41;4119905;411990;PONTA GROSSA;348043
43;4304606;430460;CANOAS;344957
26;2611101;261110;PETROLINA;343865
43;4314407;431440;PELOTAS;341648
29;2933307;293330;VITÓRIA DA CONQUISTA;338885
31;3154606;315460;RIBEIRÃO DAS NEVES;331045
31;3170107;317010;UBERABA;330361
26;2610707;261070;PAULISTA;329117
41;4104808;410480;CASCAVEL;324476
35;3541000;354100;PRAIA GRANDE;319146
35;3518701;351870;GUARUJÁ;318107
41;4125506;412550;SÃO JOSÉ DOS PINHAIS;317476
35;3554102;355410;TAUBATÉ;311854
33;3303906;330390;PETRÓPOLIS;305687
35;3526902;352690;LIMEIRA;303682
15;1506807;150680;SANTARÉM;302667
35;3552502;355250;SUZANO;294638
24;2408003;240800;MOSSORÓ;294076
29;2905701;290570;CAMAÇARI;293723
17;1721000;172100;PALMAS;291855
35;3552809;355280;TABOÃO DA SERRA;285570
51;5108402;510840;VÁRZEA GRANDE;282009
43;4316907;431690;SANTA MARIA;280505
43;4309209;430920;GRAVATAÍ;279398
31;3127701;312770;GOVERNADOR VALADARES;278685
35;3552403;355240;SUMARÉ;278571
15;1504208;150420;MARABÁ;275086
33;3306305;330630;VOLTA REDONDA;271998
23;2307304;230730;JUAZEIRO DO NORTE;271926
35;3505708;350570;BARUERI;271306
35;3515004;351500;EMBU;270843
31;3131307;313130;IPATINGA;261344
41;4108304;410830;FOZ DO IGUAÇU;258823
21;2105302;210530;IMPERATRIZ;258016
24;2403251;240325;PARNAMIRIM;255793
43;4323002;432300;VIAMÃO;254101
33;3302403;330240;MACAÉ;251631
35;3548906;354890;SÃO CARLOS;249415
35;3520509;352050;INDAIATUBA;246908
43;4313409;431340;NOVO HAMBURGO;246452
35;3513009;351300;COTIA;244694
33;3302502;330250;MAGÉ;243657
42;4216602;421660;SÃO JOSÉ;242927
41;4105805;410580;COLOMBO;240840
33;3301900;330190;ITABORAÍ;238695
31;3167202;316720;SETE LAGOAS;237286
35;3529005;352900;MARÍLIA;237130
35;3501608;350160;AMERICANA;237112
31;3122306;312230;DIVINÓPOLIS;235977
43;4318705;431870;SÃO LEOPOLDO;234947
35;3522505;352250;ITAPEVI;234352
35;3503208;350320;ARARAQUARA;233744
35;3524402;352440;JACAREÍ;231863
27;2700300;270030;ARAPIRACA;230417
52;5218805;521880;RIO VERDE;229651
51;5107602;510760;RONDONÓPOLIS;228857
35;3519071;351907;HORTOLÂNDIA;227353
35;3541406;354140;PRESIDENTE PRUDENTE;227072
23;2307650;230765;MARACANAÚ;226128
33;3300704;330070;CABO FRIO;222528
50;5003702;500370;DOURADOS;220965
31;3157807;315780;SANTA LUZIA;218147
42;4204202;420420;CHAPECÓ;216654
42;4208203;420820;ITAJAÍ;215895
29;2918407;291840;JUAZEIRO;215183
42;4204608;420460;CRICIÚMA;213023
29;2914802;291480;ITABUNA;212740
43;4315602;431560;RIO GRANDE;210005
43;4300604;430060;ALVORADA;209213
