CityCode;Cityname;Day_df;TransitIndicatorDay
1500800;ANANINDEUA;2020-04-06;1,21409412940325
5201405;APARECIDA DE GOIÂNIA;2020-04-06;1,05099507526789
2800308;ARACAJU;2020-04-06;1,22120144460046
1501402;BELÉM;2020-04-06;1,19864947769354
3300456;BELFORD ROXO;2020-04-06;1,3319447577916
3106200;BELO HORIZONTE;2020-04-06;1,21013274880392
5300108;BRASÍLIA;2020-04-06;1,05213684674756
3509502;CAMPINAS;2020-04-06;1,17264655650872
5002704;CAMPO GRANDE;2020-04-06;1,24754179739929
3301009;CAMPOS DOS GOYTACAZES;2020-04-06;1,24805497855867
4305108;CAXIAS DO SUL;2020-04-06;1,21432608549926
3118601;CONTAGEM;2020-04-06;1,14827304609205
5103403;CUIABÁ;2020-04-06;1,17040311797851
4106902;CURITIBA;2020-04-06;1,23629216346368
3301702;DUQUE DE CAXIAS;2020-04-06;1,13892737003708
2910800;FEIRA DE SANTANA;2020-04-06;1,28776062370856
4205407;FLORIANÓPOLIS;2020-04-06;1,08139602589168
2304400;FORTALEZA;2020-04-06;1,20635222919632
5208707;GOIÂNIA;2020-04-06;1,33887310417861
3518800;GUARULHOS;2020-04-06;1,13407972512292
2607901;JABOATÃO DOS GUARARAPES;2020-04-06;1,28828222523745
2507507;JOÃO PESSOA;2020-04-06;1,17603644051133
4209102;JOINVILLE;2020-04-06;1,19790041764045
3136702;JUIZ DE FORA;2020-04-06;1,18812135010166
4113700;LONDRINA;2020-04-06;1,11401854199062
1600303;MACAPÁ;2020-04-06;1,1747332517096
2704302;MACEIÓ;2020-04-06;1,19069141717509
1302603;MANAUS;2020-04-06;1,22287494153565
2408102;NATAL;2020-04-06;1,13884914577082
3303302;NITERÓI;2020-04-06;1,29318758637327
3303500;NOVA IGUAÇU;2020-04-06;1,4032600793313
3534401;OSASCO;2020-04-06;1,24829769413549
4314902;PORTO ALEGRE;2020-04-06;1,23814539010772
1100205;PORTO VELHO;2020-04-06;1,20889497527232
2611606;RECIFE;2020-04-06;1,26690567302075
3543402;RIBEIRÃO PRETO;2020-04-06;1,13255985950121
3304557;RIO DE JANEIRO;2020-04-06;1,1614432501505
2927408;SALVADOR;2020-04-06;1,18190388813176
3547809;SANTO ANDRÉ;2020-04-06;1,27206125139553
3548708;SÃO BERNARDO DO CAMPO;2020-04-06;1,20074572539855
3304904;SÃO GONÇALO;2020-04-06;1,41308156398654
3305109;SÃO JOÃO DE MERITI;2020-04-06;1,31637606674915
3549904;SÃO JOSÉ DOS CAMPOS;2020-04-06;1,12563741989027
2111300;SÃO LUÍS;2020-04-06;1,2365929539263
3550308;SÃO PAULO;2020-04-06;1,12278753401327
3205002;SERRA;2020-04-06;1,0898980590863
3552205;SOROCABA;2020-04-06;1,23544135344463
2211001;TERESINA;2020-04-06;1,12585905350066
3170206;UBERLÂNDIA;2020-04-06;1,17684148503443
3205200;VILA VELHA;2020-04-06;1,21085404648931
1500800;ANANINDEUA;2020-04-07;1,22260998660509
5201405;APARECIDA DE GOIÂNIA;2020-04-07;1,04929278496333
2800308;ARACAJU;2020-04-07;1,22179887176337
1501402;BELÉM;2020-04-07;1,22130321495565
3300456;BELFORD ROXO;2020-04-07;1,36104844167983
3106200;BELO HORIZONTE;2020-04-07;1,23978817957979
5300108;BRASÍLIA;2020-04-07;1,07115835498193
3509502;CAMPINAS;2020-04-07;1,16887899822322
5002704;CAMPO GRANDE;2020-04-07;1,24673214219227
3301009;CAMPOS DOS GOYTACAZES;2020-04-07;1,25257812410342
4305108;CAXIAS DO SUL;2020-04-07;1,22657660531694
3118601;CONTAGEM;2020-04-07;1,15953976998669
5103403;CUIABÁ;2020-04-07;1,24231257562298
4106902;CURITIBA;2020-04-07;1,23190850012302
3301702;DUQUE DE CAXIAS;2020-04-07;1,11756173876433
2910800;FEIRA DE SANTANA;2020-04-07;1,26940511723111
4205407;FLORIANÓPOLIS;2020-04-07;1,09305246194827
2304400;FORTALEZA;2020-04-07;1,21294078235984
5208707;GOIÂNIA;2020-04-07;1,30664447938568
3518800;GUARULHOS;2020-04-07;1,14310296948157
2607901;JABOATÃO DOS GUARARAPES;2020-04-07;1,28450194006046
2507507;JOÃO PESSOA;2020-04-07;1,17616149724288
4209102;JOINVILLE;2020-04-07;1,17100995620049
3136702;JUIZ DE FORA;2020-04-07;1,20372441078442
4113700;LONDRINA;2020-04-07;1,10639305579149
1600303;MACAPÁ;2020-04-07;1,18610351163947
2704302;MACEIÓ;2020-04-07;1,19534552829538
1302603;MANAUS;2020-04-07;1,21852014727634
2408102;NATAL;2020-04-07;1,14960920209214
3303302;NITERÓI;2020-04-07;1,29204906644918
3303500;NOVA IGUAÇU;2020-04-07;1,40536070124949
3534401;OSASCO;2020-04-07;1,22177976772376
4314902;PORTO ALEGRE;2020-04-07;1,29694425325191
1100205;PORTO VELHO;2020-04-07;1,22270582771581
2611606;RECIFE;2020-04-07;1,2753542741847
3543402;RIBEIRÃO PRETO;2020-04-07;1,14637770941015
3304557;RIO DE JANEIRO;2020-04-07;1,17454069765558
2927408;SALVADOR;2020-04-07;1,1719555927737
3547809;SANTO ANDRÉ;2020-04-07;1,28915387478513
3548708;SÃO BERNARDO DO CAMPO;2020-04-07;1,20305720674133
3304904;SÃO GONÇALO;2020-04-07;1,43330529450439
3305109;SÃO JOÃO DE MERITI;2020-04-07;1,33652215982995
3549904;SÃO JOSÉ DOS CAMPOS;2020-04-07;1,12972557517636
2111300;SÃO LUÍS;2020-04-07;1,22892719734264
3550308;SÃO PAULO;2020-04-07;1,12724527703394
3205002;SERRA;2020-04-07;1,10673906273931
3552205;SOROCABA;2020-04-07;1,24048706471528
2211001;TERESINA;2020-04-07;1,12650428884878
3170206;UBERLÂNDIA;2020-04-07;1,16607066433098
3205200;VILA VELHA;2020-04-07;1,21425210010271
1500800;ANANINDEUA;2020-04-08;1,18809774554564
5201405;APARECIDA DE GOIÂNIA;2020-04-08;1,06170891915687
2800308;ARACAJU;2020-04-08;1,20685023428541
1501402;BELÉM;2020-04-08;1,22751967108577
3300456;BELFORD ROXO;2020-04-08;1,34832162310246
3106200;BELO HORIZONTE;2020-04-08;1,25103069542033
5300108;BRASÍLIA;2020-04-08;1,10659638724746
3509502;CAMPINAS;2020-04-08;1,17397048196586
5002704;CAMPO GRANDE;2020-04-08;1,19367387211278
3301009;CAMPOS DOS GOYTACAZES;2020-04-08;1,21861830603915
4305108;CAXIAS DO SUL;2020-04-08;1,22516149278636
3118601;CONTAGEM;2020-04-08;1,14938567784024
5103403;CUIABÁ;2020-04-08;1,15763666922089
4106902;CURITIBA;2020-04-08;1,21026746067018
3301702;DUQUE DE CAXIAS;2020-04-08;1,16265059920729
2910800;FEIRA DE SANTANA;2020-04-08;1,22768729383052
4205407;FLORIANÓPOLIS;2020-04-08;1,11574001219335
2304400;FORTALEZA;2020-04-08;1,11621243655449
5208707;GOIÂNIA;2020-04-08;1,2827899475589
3518800;GUARULHOS;2020-04-08;1,11184047812844
2607901;JABOATÃO DOS GUARARAPES;2020-04-08;1,23404689471304
2507507;JOÃO PESSOA;2020-04-08;1,14464951962139
4209102;JOINVILLE;2020-04-08;1,16967163782783
3136702;JUIZ DE FORA;2020-04-08;1,17745659773852
4113700;LONDRINA;2020-04-08;1,11199708607195
1600303;MACAPÁ;2020-04-08;1,17213828625108
2704302;MACEIÓ;2020-04-08;1,15687775273356
1302603;MANAUS;2020-04-08;1,26134327665583
2408102;NATAL;2020-04-08;1,14349198326767
3303302;NITERÓI;2020-04-08;1,27948573115034
3303500;NOVA IGUAÇU;2020-04-08;1,4226406849764
3534401;OSASCO;2020-04-08;1,201287332506
4314902;PORTO ALEGRE;2020-04-08;1,29620945901543
1100205;PORTO VELHO;2020-04-08;1,17363835726733
2611606;RECIFE;2020-04-08;1,20662525648933
3543402;RIBEIRÃO PRETO;2020-04-08;1,14447053147086
3304557;RIO DE JANEIRO;2020-04-08;1,27002752763313
2927408;SALVADOR;2020-04-08;1,18263019073197
3547809;SANTO ANDRÉ;2020-04-08;1,20372291467606
3548708;SÃO BERNARDO DO CAMPO;2020-04-08;1,19035912700711
3304904;SÃO GONÇALO;2020-04-08;1,38806222686313
3305109;SÃO JOÃO DE MERITI;2020-04-08;1,3316707909013
3549904;SÃO JOSÉ DOS CAMPOS;2020-04-08;1,15010607088518
2111300;SÃO LUÍS;2020-04-08;1,26146166897672
3550308;SÃO PAULO;2020-04-08;1,17208119391314
3205002;SERRA;2020-04-08;1,08231606083453
3552205;SOROCABA;2020-04-08;1,27034541654726
2211001;TERESINA;2020-04-08;1,12983119774567
3170206;UBERLÂNDIA;2020-04-08;1,19055392631014
3205200;VILA VELHA;2020-04-08;1,16826034619575
1500800;ANANINDEUA;2020-04-09;1,23138324926251
5201405;APARECIDA DE GOIÂNIA;2020-04-09;1,05124221393358
2800308;ARACAJU;2020-04-09;1,22524165829796
1501402;BELÉM;2020-04-09;1,23360216104034
3300456;BELFORD ROXO;2020-04-09;1,33718616044091
3106200;BELO HORIZONTE;2020-04-09;1,21837545243359
5300108;BRASÍLIA;2020-04-09;1,09583856363688
3509502;CAMPINAS;2020-04-09;1,15609529991097
5002704;CAMPO GRANDE;2020-04-09;1,21520379117924
3301009;CAMPOS DOS GOYTACAZES;2020-04-09;1,23451400285374
4305108;CAXIAS DO SUL;2020-04-09;1,21604739477352
3118601;CONTAGEM;2020-04-09;1,14475205867141
5103403;CUIABÁ;2020-04-09;1,22543281179288
4106902;CURITIBA;2020-04-09;1,23124659673596
3301702;DUQUE DE CAXIAS;2020-04-09;1,17073208331916
2910800;FEIRA DE SANTANA;2020-04-09;1,2431264871614
4205407;FLORIANÓPOLIS;2020-04-09;1,10386032676669
2304400;FORTALEZA;2020-04-09;1,14359484812837
5208707;GOIÂNIA;2020-04-09;1,29840185696418
3518800;GUARULHOS;2020-04-09;1,12482909067437
2607901;JABOATÃO DOS GUARARAPES;2020-04-09;1,22805132233569
2507507;JOÃO PESSOA;2020-04-09;1,14998738611954
4209102;JOINVILLE;2020-04-09;1,16124885967688
3136702;JUIZ DE FORA;2020-04-09;1,18442377774987
4113700;LONDRINA;2020-04-09;1,11537205939361
1600303;MACAPÁ;2020-04-09;1,17560039986833
2704302;MACEIÓ;2020-04-09;1,1430031397061
1302603;MANAUS;2020-04-09;1,24182989296582
2408102;NATAL;2020-04-09;1,16125740166288
3303302;NITERÓI;2020-04-09;1,29700662452784
3303500;NOVA IGUAÇU;2020-04-09;1,43771718899173
3534401;OSASCO;2020-04-09;1,2090808262764
4314902;PORTO ALEGRE;2020-04-09;1,29821063960533
1100205;PORTO VELHO;2020-04-09;1,20873756120189
2611606;RECIFE;2020-04-09;1,22882400574283
3543402;RIBEIRÃO PRETO;2020-04-09;1,16334473739454
3304557;RIO DE JANEIRO;2020-04-09;1,19634274197657
2927408;SALVADOR;2020-04-09;1,16874159978661
3547809;SANTO ANDRÉ;2020-04-09;1,2451000706955
3548708;SÃO BERNARDO DO CAMPO;2020-04-09;1,15130059388351
3304904;SÃO GONÇALO;2020-04-09;1,39377247940596
3305109;SÃO JOÃO DE MERITI;2020-04-09;1,34978300180832
3549904;SÃO JOSÉ DOS CAMPOS;2020-04-09;1,13520064812314
2111300;SÃO LUÍS;2020-04-09;1,21235228576208
3550308;SÃO PAULO;2020-04-09;1,1879683499365
3205002;SERRA;2020-04-09;1,08720035235491
3552205;SOROCABA;2020-04-09;1,25340390645113
2211001;TERESINA;2020-04-09;1,09995682091117
3170206;UBERLÂNDIA;2020-04-09;1,18764760988569
3205200;VILA VELHA;2020-04-09;1,1683479994252
1500800;ANANINDEUA;2020-04-10;1,09388642275443
5201405;APARECIDA DE GOIÂNIA;2020-04-10;1,01567842128161
2800308;ARACAJU;2020-04-10;1,17316916885172
1501402;BELÉM;2020-04-10;1,10972366990809
3300456;BELFORD ROXO;2020-04-10;1,196828568666
3106200;BELO HORIZONTE;2020-04-10;1,13444786659155
5300108;BRASÍLIA;2020-04-10;1,02084490046215
3509502;CAMPINAS;2020-04-10;1,1229362146739
5002704;CAMPO GRANDE;2020-04-10;1,14584305507328
3301009;CAMPOS DOS GOYTACAZES;2020-04-10;1,17199857695353
4305108;CAXIAS DO SUL;2020-04-10;1,14701779716833
3118601;CONTAGEM;2020-04-10;1,06701343141788
5103403;CUIABÁ;2020-04-10;1,11745361152813
4106902;CURITIBA;2020-04-10;1,13902028304035
3301702;DUQUE DE CAXIAS;2020-04-10;1,09988214668458
2910800;FEIRA DE SANTANA;2020-04-10;1,1648004953125
4205407;FLORIANÓPOLIS;2020-04-10;1,04359307205328
2304400;FORTALEZA;2020-04-10;1,05836255962941
5208707;GOIÂNIA;2020-04-10;1,2048114121982
3518800;GUARULHOS;2020-04-10;1,07074755074553
2607901;JABOATÃO DOS GUARARAPES;2020-04-10;1,12419764812302
2507507;JOÃO PESSOA;2020-04-10;1,14215456826521
4209102;JOINVILLE;2020-04-10;1,08170189640592
3136702;JUIZ DE FORA;2020-04-10;1,13600006755502
4113700;LONDRINA;2020-04-10;1,09252739702161
1600303;MACAPÁ;2020-04-10;1,11007113961403
2704302;MACEIÓ;2020-04-10;1,09154967344172
1302603;MANAUS;2020-04-10;1,1626409998617
2408102;NATAL;2020-04-10;1,11233967621032
3303302;NITERÓI;2020-04-10;1,20931937400386
3303500;NOVA IGUAÇU;2020-04-10;1,23937756281231
3534401;OSASCO;2020-04-10;1,1599305845125
4314902;PORTO ALEGRE;2020-04-10;1,20721793143893
1100205;PORTO VELHO;2020-04-10;1,12771484154532
2611606;RECIFE;2020-04-10;1,18229274856156
3543402;RIBEIRÃO PRETO;2020-04-10;1,07636524862934
3304557;RIO DE JANEIRO;2020-04-10;1,11772761772697
2927408;SALVADOR;2020-04-10;1,14824914049381
3547809;SANTO ANDRÉ;2020-04-10;1,16789392821404
3548708;SÃO BERNARDO DO CAMPO;2020-04-10;1,08521723656348
3304904;SÃO GONÇALO;2020-04-10;1,29868894303283
3305109;SÃO JOÃO DE MERITI;2020-04-10;1,17865645125472
3549904;SÃO JOSÉ DOS CAMPOS;2020-04-10;1,09957449134848
2111300;SÃO LUÍS;2020-04-10;1,17631464178177
